runId,experimentId,studyId,BioStudyId,sampleId,BioSampleId
ERR4674038,ERX4596015,ERP124424,PRJEB40757,ERS5150810,SAMEA7392421
ERR4674041,ERX4596018,ERP124424,PRJEB40757,ERS5150811,SAMEA7392422
ERR4674043,ERX4596020,ERP124424,PRJEB40757,ERS5150812,SAMEA7392423
ERR4674046,ERX4596023,ERP124424,PRJEB40757,ERS5150813,SAMEA7392424
ERR4674048,ERX4596025,ERP124424,PRJEB40757,ERS5150814,SAMEA7392425
ERR4674051,ERX4596028,ERP124424,PRJEB40757,ERS5150815,SAMEA7392426
ERR4674053,ERX4596030,ERP124424,PRJEB40757,ERS5150816,SAMEA7392427
ERR4674056,ERX4596033,ERP124424,PRJEB40757,ERS5150817,SAMEA7392428
ERR4674059,ERX4596036,ERP124424,PRJEB40757,ERS5150818,SAMEA7392429
ERR4674061,ERX4596038,ERP124424,PRJEB40757,ERS5150819,SAMEA7392430
ERR4674064,ERX4596041,ERP124424,PRJEB40757,ERS5150820,SAMEA7392431
ERR4674067,ERX4596044,ERP124424,PRJEB40757,ERS5150821,SAMEA7392432
ERR4674070,ERX4596047,ERP124424,PRJEB40757,ERS5150822,SAMEA7392433
ERR4674073,ERX4596050,ERP124424,PRJEB40757,ERS5150823,SAMEA7392434
ERR4674076,ERX4596053,ERP124424,PRJEB40757,ERS5150824,SAMEA7392435
ERR4674079,ERX4596056,ERP124424,PRJEB40757,ERS5150825,SAMEA7392436
ERR4674082,ERX4596059,ERP124424,PRJEB40757,ERS5150826,SAMEA7392437
ERR4674084,ERX4596061,ERP124424,PRJEB40757,ERS5150827,SAMEA7392438
ERR4674087,ERX4596064,ERP124424,PRJEB40757,ERS5150828,SAMEA7392439
ERR4674090,ERX4596067,ERP124424,PRJEB40757,ERS5150829,SAMEA7392440
ERR4674092,ERX4596069,ERP124424,PRJEB40757,ERS5150830,SAMEA7392441
ERR4674095,ERX4596072,ERP124424,PRJEB40757,ERS5150831,SAMEA7392442
ERR4674098,ERX4596075,ERP124424,PRJEB40757,ERS5150832,SAMEA7392443
ERR4674101,ERX4596078,ERP124424,PRJEB40757,ERS5150833,SAMEA7392444
ERR4674104,ERX4596081,ERP124424,PRJEB40757,ERS5150834,SAMEA7392445
ERR4674107,ERX4596084,ERP124424,PRJEB40757,ERS5150835,SAMEA7392446
ERR4674110,ERX4596087,ERP124424,PRJEB40757,ERS5150836,SAMEA7392447
ERR4674113,ERX4596090,ERP124424,PRJEB40757,ERS5150837,SAMEA7392448
ERR4674116,ERX4596093,ERP124424,PRJEB40757,ERS5150838,SAMEA7392449
ERR4674119,ERX4596096,ERP124424,PRJEB40757,ERS5150839,SAMEA7392450
ERR4674122,ERX4596099,ERP124424,PRJEB40757,ERS5150840,SAMEA7392451
ERR4674125,ERX4596102,ERP124424,PRJEB40757,ERS5150841,SAMEA7392452
ERR4674128,ERX4596105,ERP124424,PRJEB40757,ERS5150842,SAMEA7392453
ERR4674131,ERX4596108,ERP124424,PRJEB40757,ERS5150843,SAMEA7392454
ERR4674135,ERX4596112,ERP124424,PRJEB40757,ERS5150845,SAMEA7392456
ERR4674138,ERX4596115,ERP124424,PRJEB40757,ERS5150846,SAMEA7392457
ERR4674141,ERX4596118,ERP124424,PRJEB40757,ERS5150847,SAMEA7392458
ERR4674143,ERX4596120,ERP124424,PRJEB40757,ERS5150848,SAMEA7392459
ERR4674146,ERX4596123,ERP124424,PRJEB40757,ERS5150849,SAMEA7392460
ERR4674149,ERX4596126,ERP124424,PRJEB40757,ERS5150850,SAMEA7392461
ERR4674152,ERX4596129,ERP124424,PRJEB40757,ERS5150851,SAMEA7392462
ERR4674155,ERX4596132,ERP124424,PRJEB40757,ERS5150852,SAMEA7392463
ERR4674157,ERX4596134,ERP124424,PRJEB40757,ERS5150853,SAMEA7392464
ERR4674160,ERX4596137,ERP124424,PRJEB40757,ERS5150854,SAMEA7392465
ERR4674162,ERX4596139,ERP124424,PRJEB40757,ERS5150855,SAMEA7392466
ERR4674164,ERX4596141,ERP124424,PRJEB40757,ERS5150856,SAMEA7392467
ERR4674167,ERX4596144,ERP124424,PRJEB40757,ERS5150857,SAMEA7392468
ERR4674170,ERX4596147,ERP124424,PRJEB40757,ERS5150858,SAMEA7392469
ERR4674173,ERX4596150,ERP124424,PRJEB40757,ERS5150859,SAMEA7392470
ERR4674176,ERX4596153,ERP124424,PRJEB40757,ERS5150860,SAMEA7392471
ERR4674177,ERX4596154,ERP124424,PRJEB40757,ERS5150861,SAMEA7392472
ERR4674180,ERX4596157,ERP124424,PRJEB40757,ERS5150862,SAMEA7392473
ERR4674181,ERX4596158,ERP124424,PRJEB40757,ERS5150863,SAMEA7392474
ERR4674184,ERX4596161,ERP124424,PRJEB40757,ERS5150864,SAMEA7392475
ERR4674187,ERX4596164,ERP124424,PRJEB40757,ERS5150865,SAMEA7392476
ERR4674190,ERX4596167,ERP124424,PRJEB40757,ERS5150866,SAMEA7392477
ERR4674193,ERX4596170,ERP124424,PRJEB40757,ERS5150867,SAMEA7392478
ERR4674196,ERX4596173,ERP124424,PRJEB40757,ERS5150868,SAMEA7392479
ERR4674199,ERX4596176,ERP124424,PRJEB40757,ERS5150869,SAMEA7392480
ERR4674202,ERX4596179,ERP124424,PRJEB40757,ERS5150870,SAMEA7392481
ERR4674205,ERX4596182,ERP124424,PRJEB40757,ERS5150871,SAMEA7392482
ERR4674207,ERX4596184,ERP124424,PRJEB40757,ERS5150872,SAMEA7392483
